EmployeeKey,FirstName,LastName,MiddleName,HireDate,BirthDate,EmailAddress,Phone,MaritalStatus,EmergencyContactName,EmergencyContactPhone,SalariedFlag,Gender,PayFrequency,BaseRate,VacationHours,SickLeaveHours,CurrentFlag,SalesPersonFlag,DepartmentName,StartDate,EndDate,Status
14,Terri,Duffy,Lee,8/31/2007,3/1/1971,terri0@adventure-works.com,819-555-0175,S,Terri Duffy,819-555-0175,1,F,2,63.4615,1,20,1,0,Engineering,8/31/2007,NULL,Current
15,Sidney,Higa,M,9/2/2007,3/30/1956,sidney0@adventure-works.com,424-555-0189,M,Sidney Higa,424-555-0189,0,M,1,13.45,84,62,1,0,Production,9/2/2007,NULL,Current
16,Taylor,Maxwell,R,9/8/2007,10/31/1955,taylor0@adventure-works.com,508-555-0165,M,Taylor Maxwell,508-555-0165,0,M,2,25,79,59,1,0,Production,9/8/2007,NULL,Current
17,Jeffrey,Ford,L,9/20/2007,2/9/1956,jeffrey0@adventure-works.com,984-555-0185,S,Jeffrey Ford,984-555-0185,0,M,1,13.45,85,62,1,0,Production,9/20/2007,NULL,Current
18,Jo,Brown,A,9/27/2007,5/8/1956,jo0@adventure-works.com,632-555-0129,S,Jo Brown,632-555-0129,0,F,2,25,80,60,1,0,Production,9/27/2007,NULL,Current
19,Doris,Hartwig,M,10/9/2007,11/3/1955,doris0@adventure-works.com,328-555-0150,M,Doris Hartwig,328-555-0150,0,F,1,13.45,86,63,1,0,Production,10/9/2007,NULL,Current
20,John,Campbell,T,10/16/2007,3/7/1956,john0@adventure-works.com,435-555-0113,M,John Campbell,435-555-0113,0,M,2,25,81,60,1,0,Production,10/16/2007,NULL,Current
21,Diane,Glimp,R,10/27/2007,10/28/1955,diane0@adventure-works.com,202-555-0151,M,Diane Glimp,202-555-0151,0,F,1,13.45,87,63,1,0,Production,10/27/2007,NULL,Current
22,Steven,Selikoff,T,7/1/2008,12/12/1976,steven0@adventure-works.com,925-555-0114,M,Steven Selikoff,925-555-0114,0,M,1,9.5,41,40,1,0,Production,7/1/2008,NULL,Current
23,Peter,Krebs,J,7/1/2008,6/3/1982,peter0@adventure-works.com,913-555-0196,M,Peter Krebs,913-555-0196,1,M,2,24.5192,43,41,1,0,Production Control,7/1/2008,NULL,Current
24,Stuart,Munson,V,7/2/2008,4/13/1962,stuart0@adventure-works.com,413-555-0136,S,Stuart Munson,413-555-0136,0,M,1,10,84,62,1,0,Production,7/2/2008,NULL,Current
25,Greg,Alderson,F,7/2/2008,11/15/1975,greg0@adventure-works.com,332-555-0150,S,Greg Alderson,332-555-0150,0,M,1,10,85,62,1,0,Production,7/2/2008,NULL,Current
26,David,Johnson,N,7/2/2008,6/2/1979,david1@adventure-works.com,166-555-0162,S,David Johnson,166-555-0162,0,M,1,9.5,25,32,1,0,Production,7/2/2008,NULL,Current
27,Zheng,Mu,W,7/3/2008,5/26/1983,zheng0@adventure-works.com,113-555-0173,S,Zheng Mu,113-555-0173,0,M,2,25,66,53,1,0,Production,7/3/2008,NULL,Current
28,Ivo,Salmre,William,7/4/2008,8/3/1981,ivo0@adventure-works.com,115-555-0179,M,Ivo Salmre,115-555-0179,0,M,1,14,9,24,1,0,Production,7/4/2008,NULL,Current
29,Paul,Komosinski,B,7/4/2008,6/13/1980,paul0@adventure-works.com,147-555-0160,S,Paul Komosinski,147-555-0160,0,M,1,15,68,54,1,0,Production,7/4/2008,NULL,Current
30,Ashvini,Sharma,R,7/4/2008,10/25/1976,ashvini0@adventure-works.com,656-555-0119,S,Ashvini Sharma,656-555-0119,0,M,2,32.4519,70,55,1,0,Information Services,7/4/2008,NULL,Current
31,Kendall,Keil,C,7/5/2008,12/28/1985,kendall0@adventure-works.com,138-555-0128,M,Kendall Keil,138-555-0128,0,M,1,11,11,25,1,0,Production,7/5/2008,NULL,Current
32,Paula,Barreto de Mattos,M,7/6/2008,9/11/1975,paula0@adventure-works.com,523-555-0175,M,Paula Barreto de Mattos,523-555-0175,1,F,2,27.1394,54,47,1,0,Human Resources,7/6/2008,NULL,Current
33,Alejandro,McGuel,E,7/6/2008,7/5/1988,alejandro0@adventure-works.com,668-555-0130,S,Alejandro McGuel,668-555-0130,0,M,1,15,52,46,1,0,Production,7/6/2008,NULL,Current
34,Garrett,Young,R,7/7/2008,3/25/1984,garrett0@adventure-works.com,609-555-0179,S,Garrett Young,609-555-0179,0,M,1,9.5,34,37,1,0,Production,7/7/2008,NULL,Current
35,Jian Shuo,Wang,NULL,7/7/2008,2/24/1983,jianshuo0@adventure-works.com,952-555-0178,S,Jian Shuo Wang,952-555-0178,0,M,1,9.5,36,38,1,0,Production,7/7/2008,NULL,Current
36,Susan,Eaton,W,7/7/2008,9/17/1977,susan0@adventure-works.com,943-555-0196,S,Susan Eaton,943-555-0196,0,F,1,9,97,68,1,0,Shipping and Receiving,7/7/2008,NULL,Current
37,Vamsi,Kuppa,N,7/7/2008,10/16/1976,vamsi0@adventure-works.com,937-555-0137,M,Vamsi Kuppa,937-555-0137,0,M,2,9.5,95,67,1,0,Shipping and Receiving,7/7/2008,NULL,Current
38,Alice,Ciccu,O,7/7/2008,8/26/1977,alice0@adventure-works.com,333-555-0173,M,Alice Ciccu,333-555-0173,0,F,1,11,95,67,1,0,Production,7/7/2008,NULL,Current
39,Simon,Rapier,D,7/8/2008,12/15/1989,simon0@adventure-works.com,963-555-0134,S,Simon Rapier,963-555-0134,0,M,1,12.45,38,39,1,0,Production,7/8/2008,NULL,Current
40,Jinghao,Liu,K,7/8/2008,9/5/1988,jinghao0@adventure-works.com,794-555-0159,S,Jinghao Liu,794-555-0159,0,M,2,25,77,58,1,0,Production,7/8/2008,NULL,Current
41,Michael,Hines,T,7/9/2008,12/15/1989,michael0@adventure-works.com,218-555-0126,S,Michael Hines,218-555-0126,0,M,1,14,20,30,1,0,Production,7/9/2008,NULL,Current
42,Yvonne,McKay,S,7/9/2008,11/13/1988,yvonne0@adventure-works.com,286-555-0189,M,Yvonne McKay,286-555-0189,0,F,1,10,79,59,1,0,Production,7/9/2008,NULL,Current
43,Peng,Wu,J,7/9/2008,10/17/1975,peng0@adventure-works.com,164-555-0164,M,Peng Wu,164-555-0164,1,M,2,21.6346,81,60,1,0,Quality Assurance,7/9/2008,NULL,Current
44,Jean,Trenary,E,7/11/2008,7/13/1975,jean0@adventure-works.com,685-555-0120,S,Jean Trenary,685-555-0120,1,F,2,50.4808,65,52,1,0,Information Services,7/11/2008,NULL,Current
45,Russell,Hunter,NULL,7/12/2008,6/25/1972,russell0@adventure-works.com,786-555-0144,M,Russell Hunter,786-555-0144,0,M,1,11,6,23,1,0,Production,7/12/2008,NULL,Current
46,A. Scott,Wright,NULL,7/12/2008,4/17/1968,ascott0@adventure-works.com,992-555-0194,S,A. Scott Wright,992-555-0194,0,M,2,23.5577,44,42,1,0,Production Control,7/12/2008,NULL,Current
47,Fred,Northup,T,7/12/2008,1/23/1989,fred0@adventure-works.com,818-555-0192,S,Fred Northup,818-555-0192,0,M,1,15,47,43,1,0,Production,7/12/2008,NULL,Current
48,Sariya,Harnpadoungsataya,E,7/12/2008,12/19/1986,sariya0@adventure-works.com,399-555-0176,S,Sariya Harnpadoungsataya,399-555-0176,0,M,2,14.4231,45,42,1,0,Marketing,7/12/2008,NULL,Current
49,Willis,Johnson,T,7/13/2008,2/15/1978,willis0@adventure-works.com,778-555-0141,S,Willis Johnson,778-555-0141,0,M,2,18.2692,49,44,1,0,Human Resources,7/13/2008,NULL,Current
50,Jun,Cao,T,7/14/2008,2/3/1979,jun0@adventure-works.com,299-555-0113,S,Jun Cao,299-555-0113,0,M,1,11,90,65,1,0,Production,7/14/2008,NULL,Current
51,Christian,Kleinerman,E,7/14/2008,8/18/1975,christian0@adventure-works.com,846-555-0157,M,Christian Kleinerman,846-555-0157,1,M,2,20.4327,92,66,1,0,Facilities and Maintenance,7/14/2008,NULL,Current
52,Susan,Metters,A,7/14/2008,10/31/1982,susan1@adventure-works.com,639-555-0164,S,Susan Metters,639-555-0164,0,F,1,9.5,31,35,1,0,Production,7/14/2008,NULL,Current
53,Reuben,D'sa,H,7/15/2008,3/27/1987,reuben0@adventure-works.com,191-555-0112,M,Reuben D'sa,191-555-0112,0,M,2,25,72,56,1,0,Production,7/15/2008,NULL,Current
54,Kirk,Koenigsbauer,J,7/15/2008,9/6/1984,kirk0@adventure-works.com,669-555-0150,S,Kirk Koenigsbauer,669-555-0150,0,M,1,10,74,57,1,0,Production,7/15/2008,NULL,Current
55,David,Ortiz,J,7/15/2008,7/29/1984,david2@adventure-works.com,712-555-0119,M,David Ortiz,712-555-0119,0,M,1,12.45,33,36,1,0,Production,7/15/2008,NULL,Current
56,Tengiz,Kharatishvili,N,7/16/2008,11/26/1989,tengiz0@adventure-works.com,910-555-0116,S,Tengiz Kharatishvili,910-555-0116,0,M,2,16.8269,76,58,1,0,Document Control,7/16/2008,NULL,Current
57,Hanying,Feng,P,7/16/2008,5/16/1974,hanying0@adventure-works.com,319-555-0139,S,Hanying Feng,319-555-0139,0,M,1,14,15,27,1,0,Production,7/16/2008,NULL,Current
58,Kevin,Liu,H,7/17/2008,7/25/1985,kevin1@adventure-works.com,714-555-0138,S,Kevin Liu,714-555-0138,0,M,1,15,58,49,1,0,Production,7/17/2008,NULL,Current
59,Annik,Stahl,O,7/17/2008,7/26/1976,annik0@adventure-works.com,499-555-0125,M,Annik Stahl,499-555-0125,0,M,1,12.45,17,28,1,0,Production,7/17/2008,NULL,Current
60,Suroor,Fatima,R,7/17/2008,9/25/1977,suroor0@adventure-works.com,932-555-0161,S,Suroor Fatima,932-555-0161,0,M,1,11,93,66,1,0,Production,7/17/2008,NULL,Current
61,Deborah,Poe,E,7/18/2008,10/5/1975,deborah0@adventure-works.com,602-555-0194,M,Deborah Poe,602-555-0194,0,F,2,19,60,50,1,0,Finance,7/18/2008,NULL,Current
62,Jim,Scardelis,H,7/19/2008,4/8/1986,jim0@adventure-works.com,679-555-0113,M,Jim Scardelis,679-555-0113,0,M,1,11,1,20,1,0,Production,7/19/2008,NULL,Current
63,Carole,Poland,M,7/19/2008,5/19/1983,carole0@adventure-works.com,688-555-0192,M,Carole Poland,688-555-0192,0,F,1,9.5,42,41,1,0,Production,7/19/2008,NULL,Current
64,George,Li,Z,7/21/2008,11/14/1976,george0@adventure-works.com,518-555-0199,M,George Li,518-555-0199,0,M,1,9.5,26,33,1,0,Production,7/21/2008,NULL,Current
65,Gary,Yukish,W,7/22/2008,12/15/1987,gary0@adventure-works.com,901-555-0125,S,Gary Yukish,901-555-0125,0,M,1,15,69,54,1,0,Production,7/22/2008,NULL,Current
66,Cristian,Petculescu,K,7/22/2008,11/10/1983,cristian0@adventure-works.com,434-555-0133,M,Cristian Petculescu,434-555-0133,0,M,2,25,67,53,1,0,Production,7/22/2008,NULL,Current
67,Raymond,Sam,K,7/23/2008,9/30/1966,raymond0@adventure-works.com,226-555-0197,M,Raymond Sam,226-555-0197,0,M,1,14,10,25,1,0,Production,7/23/2008,NULL,Current
68,Janaina,Bueno,Barreiro Gambaro,7/23/2008,8/30/1984,janaina0@adventure-works.com,623-555-0155,M,Janaina Bueno,623-555-0155,1,F,2,27.4038,71,55,1,0,Information Services,7/23/2008,NULL,Current
69,Bob,Hohman,N,7/24/2008,3/16/1979,bob0@adventure-works.com,611-555-0116,S,Bob Hohman,611-555-0116,0,M,1,11,12,26,1,0,Production,7/24/2008,NULL,Current
70,Shammi,Mohamed,G,7/24/2008,5/4/1980,shammi0@adventure-works.com,793-555-0179,M,Shammi Mohamed,793-555-0179,0,M,1,15,53,46,1,0,Production,7/24/2008,NULL,Current
71,Linda,Moschell,K,7/25/2008,2/14/1987,linda0@adventure-works.com,612-555-0171,M,Linda Moschell,612-555-0171,0,F,1,11,96,68,1,0,Production,7/25/2008,NULL,Current
72,Mindy,Martin,C,7/25/2008,6/20/1984,mindy0@adventure-works.com,522-555-0147,M,Mindy Martin,522-555-0147,0,F,2,16.5865,51,45,1,0,Human Resources,7/25/2008,NULL,Current
73,Wendy,Kahn,Beth,7/25/2008,5/11/1984,wendy0@adventure-works.com,248-555-0134,S,Wendy Kahn,248-555-0134,1,F,2,43.2692,55,47,1,0,Finance,7/25/2008,NULL,Current
74,Kim,Ralls,T,7/26/2008,11/29/1983,kim0@adventure-works.com,309-555-0129,S,Kim Ralls,309-555-0129,0,F,1,9,98,69,1,0,Shipping and Receiving,7/26/2008,NULL,Current
75,Sandra,Reátegui Alayo,NULL,7/26/2008,6/5/1975,sandra0@adventure-works.com,896-555-0168,M,Sandra Reátegui Alayo,896-555-0168,0,F,1,9.5,37,38,1,0,Production,7/26/2008,NULL,Current
76,Kok-Ho,Loh,T,7/27/2008,11/27/1979,kok-ho0@adventure-works.com,999-555-0155,S,Kok-Ho Loh,999-555-0155,0,M,2,25,78,59,1,0,Production,7/27/2008,NULL,Current
77,Douglas,Hite,B,7/27/2008,6/24/1985,douglas0@adventure-works.com,808-555-0172,M,Douglas Hite,808-555-0172,0,M,1,10,80,60,1,0,Production,7/27/2008,NULL,Current
78,James,Kramer,D,7/27/2008,2/23/1984,james0@adventure-works.com,119-555-0117,M,James Kramer,119-555-0117,0,M,1,12.45,39,39,1,0,Production,7/27/2008,NULL,Current
79,Sean,Alexander,P,7/28/2008,10/5/1975,sean0@adventure-works.com,420-555-0173,S,Sean Alexander,420-555-0173,0,M,2,10.5769,82,61,1,0,Quality Assurance,7/28/2008,NULL,Current
80,Nitin,Mirchandani,S,7/28/2008,7/1/1986,nitin0@adventure-works.com,143-555-0173,S,Nitin Mirchandani,143-555-0173,0,M,1,14,21,30,1,0,Production,7/28/2008,NULL,Current
81,Diane,Margheim,L,7/29/2008,1/3/1986,diane1@adventure-works.com,815-555-0138,S,Diane Margheim,815-555-0138,1,F,2,40.8654,62,51,1,0,Research and Development,7/29/2008,NULL,Current
82,Rebecca,Laszlo,A,7/29/2008,2/4/1988,rebecca0@adventure-works.com,314-555-0113,M,Rebecca Laszlo,314-555-0113,0,F,1,12.45,23,31,1,0,Production,7/29/2008,NULL,Current
83,Rajesh,Patel,M,7/31/2008,5/4/1977,rajesh0@adventure-works.com,373-555-0137,M,Rajesh Patel,373-555-0137,0,M,1,15,48,44,1,0,Production,7/31/2008,NULL,Current
84,Vidur,Luthra,X,8/1/2008,3/1/1984,vidur0@adventure-works.com,153-555-0186,S,Vidur Luthra,153-555-0186,0,M,2,18.2692,50,45,1,0,Human Resources,8/1/2008,NULL,Current
85,John,Evans,P,8/1/2008,12/29/1977,john1@adventure-works.com,172-555-0130,S,John Evans,172-555-0130,0,M,1,11,91,65,1,0,Production,8/1/2008,NULL,Current
86,Nancy,Anderson,A,8/2/2008,6/19/1988,nancy0@adventure-works.com,970-555-0118,M,Nancy Anderson,970-555-0118,0,F,1,12.45,34,37,1,0,Production,8/2/2008,NULL,Current
87,Pilar,Ackerman,G,8/2/2008,4/9/1972,pilar0@adventure-works.com,577-555-0185,S,Pilar Ackerman,577-555-0185,1,M,2,19.2308,93,66,1,0,Shipping and Receiving,8/2/2008,NULL,Current
88,David,Yalovsky,A,8/2/2008,3/3/1981,david3@adventure-works.com,373-555-0142,S,David Yalovsky,373-555-0142,0,M,1,9.5,32,36,1,0,Production,8/2/2008,NULL,Current
89,David,Hamilton,P,8/3/2008,1/30/1983,david4@adventure-works.com,986-555-0177,S,David Hamilton,986-555-0177,0,M,2,25,73,56,1,0,Production,8/3/2008,NULL,Current
90,Laura,Steele,C,8/3/2008,7/25/1980,laura0@adventure-works.com,777-555-0141,S,Laura Steele,777-555-0141,0,F,1,10,75,57,1,0,Production,8/3/2008,NULL,Current
91,Margie,Shoop,W,8/4/2008,12/18/1985,margie0@adventure-works.com,818-555-0128,M,Margie Shoop,818-555-0128,0,F,1,12.45,18,29,1,0,Production,8/4/2008,NULL,Current
92,Zainal,Arifin,T,8/4/2008,8/30/1975,zainal0@adventure-works.com,204-555-0115,M,Zainal Arifin,204-555-0115,0,M,2,17.7885,77,58,1,0,Document Control,8/4/2008,NULL,Current
93,Lorraine,Nay,O,8/4/2008,6/26/1988,lorraine0@adventure-works.com,845-555-0184,M,Lorraine Nay,845-555-0184,0,F,1,15,49,44,1,0,Production,8/4/2008,NULL,Current
94,Fadi,Fakhouri,K,8/4/2008,9/15/1988,fadi0@adventure-works.com,935-555-0116,S,Fadi Fakhouri,935-555-0116,0,M,1,14,16,28,1,0,Production,8/4/2008,NULL,Current
95,Ryan,Cornelsen,L,8/5/2008,1/12/1972,ryan0@adventure-works.com,208-555-0114,M,Ryan Cornelsen,208-555-0114,0,M,1,15,59,49,1,0,Production,8/5/2008,NULL,Current
96,Candy,Spoon,L,8/6/2008,9/23/1975,candy0@adventure-works.com,920-555-0177,S,Candy Spoon,920-555-0177,0,F,2,19,61,50,1,0,Finance,8/6/2008,NULL,Current
97,Nuan,Yu,NULL,8/6/2008,10/27/1978,nuan0@adventure-works.com,913-555-0184,S,Nuan Yu,913-555-0184,0,M,1,11,2,21,1,0,Production,8/6/2008,NULL,Current
98,William,Vong,S,8/7/2008,6/6/1981,william0@adventure-works.com,148-555-0145,M,William Vong,148-555-0145,0,M,2,16,45,42,1,0,Production Control,8/7/2008,3/31/2011,NULL
99,William,Vong,S,8/7/2008,6/6/1981,william0@adventure-works.com,148-555-0145,M,William Vong,148-555-0145,0,M,2,16,45,42,1,0,Production Control,4/1/2011,NULL,Current
100,Bjorn,Rettig,M,8/7/2008,6/6/1989,bjorn0@adventure-works.com,199-555-0117,S,Bjorn Rettig,199-555-0117,0,M,1,9.5,43,41,1,0,Production,8/7/2008,NULL,Current
101,Scott,Gode,R,8/8/2008,9/10/1986,scott0@adventure-works.com,391-555-0138,M,Scott Gode,391-555-0138,0,M,1,10,86,63,1,0,Production,8/8/2008,NULL,Current
102,Michael,Rothkugel,L,8/10/2008,8/4/1990,michael1@adventure-works.com,454-555-0119,S,Michael Rothkugel,454-555-0119,0,M,1,15,70,55,1,0,Production,8/10/2008,NULL,Current
103,Lane,Sacksteder,M,8/11/2008,4/23/1974,lane0@adventure-works.com,200-555-0117,M,Lane Sacksteder,200-555-0117,0,M,1,14,11,25,1,0,Production,8/11/2008,NULL,Current
104,Pete,Male,C,8/11/2008,9/3/1976,pete0@adventure-works.com,768-555-0123,S,Pete Male,768-555-0123,0,M,1,11,13,26,1,0,Production,8/11/2008,NULL,Current
105,Dan,Bacon,K,8/11/2008,1/24/1981,dan0@adventure-works.com,166-555-0159,M,Dan Bacon,166-555-0159,1,M,2,27.4038,72,56,1,0,Information Services,8/11/2008,NULL,Current
106,David,Barber,M,8/12/2008,1/20/1964,david5@adventure-works.com,477-555-0132,S,David Barber,477-555-0132,0,M,2,13.4615,56,48,1,0,Finance,8/12/2008,NULL,Current
107,Lolan,Song,B,8/12/2008,8/24/1972,lolan0@adventure-works.com,582-555-0178,M,Lolan Song,582-555-0178,0,M,1,11,7,23,1,0,Production,8/12/2008,NULL,Current
108,Paula,Nartker,R,8/12/2008,9/10/1986,paula1@adventure-works.com,476-555-0119,M,Paula Nartker,476-555-0119,0,F,1,15,54,47,1,0,Production,8/12/2008,NULL,Current
109,Mary,Gibson,E,8/12/2008,4/13/1962,mary0@adventure-works.com,531-555-0183,M,Mary Gibson,531-555-0183,0,F,2,14.4231,46,43,1,0,Marketing,8/12/2008,NULL,Current
110,Mindaugas,Krapauskas,J,8/13/2008,12/5/1977,mindaugas0@adventure-works.com,637-555-0120,M,Mindaugas Krapauskas,637-555-0120,0,M,1,11,97,68,1,0,Production,8/13/2008,NULL,Current
111,Eric,Gubbels,NULL,8/14/2008,8/19/1984,eric0@adventure-works.com,260-555-0119,M,Eric Gubbels,260-555-0119,0,M,2,25,40,40,1,0,Production,8/14/2008,NULL,Current
112,Ken,Sánchez,J,8/14/2008,8/29/1968,ken0@adventure-works.com,697-555-0142,S,Ken Sánchez,697-555-0142,1,M,2,125.5,99,69,1,0,Executive,8/14/2008,NULL,Current
113,Jason,Watters,M,8/14/2008,7/7/1988,jason0@adventure-works.com,571-555-0179,S,Jason Watters,571-555-0179,0,M,1,9.5,38,39,1,0,Production,8/14/2008,NULL,Current
114,Mark,Harrington,L,8/15/2008,11/28/1985,mark0@adventure-works.com,147-555-0179,S,Mark Harrington,147-555-0179,0,M,2,10.5769,83,61,1,0,Quality Assurance,8/15/2008,NULL,Current
115,Janeth,Esteves,M,8/15/2008,2/22/1972,janeth0@adventure-works.com,540-555-0191,S,Janeth Esteves,540-555-0191,0,F,1,10,81,60,1,0,Production,8/15/2008,NULL,Current
116,Marc,Ingle,J,8/16/2008,5/24/1986,marc0@adventure-works.com,234-555-0169,M,Marc Ingle,234-555-0169,0,M,1,9.5,22,31,1,0,Production,8/16/2008,NULL,Current
117,Gigi,Matthew,N,8/16/2008,8/21/1978,gigi0@adventure-works.com,185-555-0186,M,Gigi Matthew,185-555-0186,1,F,2,40.8654,63,51,1,0,Research and Development,8/16/2008,NULL,Current
118,Paul,Singh,R,8/17/2008,6/4/1990,paul1@adventure-works.com,727-555-0112,M,Paul Singh,727-555-0112,0,M,1,14,6,23,1,0,Production,8/17/2008,NULL,Current
119,Frank,Lee,T,8/17/2008,4/6/1987,frank0@adventure-works.com,158-555-0191,M,Frank Lee,158-555-0191,0,M,1,15,56,48,1,0,Production,8/17/2008,NULL,Current
120,François,Ajenstat,P,8/17/2008,6/13/1980,françois0@adventure-works.com,785-555-0110,S,François Ajenstat,785-555-0110,1,M,2,38.4615,67,53,1,0,Information Services,8/17/2008,NULL,Current
121,Diane,Tibbott,H,8/18/2008,3/9/1989,diane2@adventure-works.com,361-555-0180,S,Diane Tibbott,361-555-0180,0,F,1,11,8,24,1,0,Production,8/18/2008,NULL,Current
122,Jill,Williams,A,8/18/2008,1/16/1979,jill0@adventure-works.com,510-555-0121,M,Jill Williams,510-555-0121,0,F,2,14.4231,47,43,1,0,Marketing,8/18/2008,NULL,Current
123,Angela,Barbariol,W,8/20/2008,12/29/1990,angela0@adventure-works.com,150-555-0194,S,Angela Barbariol,150-555-0194,0,F,1,11,92,66,1,0,Production,8/20/2008,NULL,Current
124,Matthias,Berndt,T,8/20/2008,6/11/1973,matthias0@adventure-works.com,139-555-0120,M,Matthias Berndt,139-555-0120,0,M,2,9.5,94,67,1,0,Shipping and Receiving,8/20/2008,NULL,Current
125,Bryan,Baker,NULL,8/21/2008,3/27/1973,bryan0@adventure-works.com,712-555-0113,S,Bryan Baker,712-555-0113,0,M,1,12.45,35,37,1,0,Production,8/21/2008,NULL,Current
126,Jeff,Hay,V,8/21/2008,8/15/1976,jeff0@adventure-works.com,350-555-0167,M,Jeff Hay,350-555-0167,0,M,2,25,74,57,1,0,Production,8/21/2008,NULL,Current
127,Eugene,Zabokritski,R,8/21/2008,2/12/1987,eugene0@adventure-works.com,241-555-0191,S,Eugene Zabokritski,241-555-0191,0,M,1,9.5,33,36,1,0,Production,8/21/2008,NULL,Current
128,Barbara,Decker,S,8/22/2008,7/29/1984,barbara0@adventure-works.com,119-555-0192,M,Barbara Decker,119-555-0192,0,F,1,14,17,28,1,0,Production,8/22/2008,NULL,Current
129,Chris,Preston,T,8/22/2008,7/16/1988,chris0@adventure-works.com,200-555-0112,M,Chris Preston,200-555-0112,0,M,1,10,76,58,1,0,Production,8/22/2008,NULL,Current
130,Sean,Chai,N,8/22/2008,10/10/1986,sean1@adventure-works.com,205-555-0132,S,Sean Chai,205-555-0132,0,M,2,10.25,78,59,1,0,Document Control,8/22/2008,NULL,Current
131,Dan,Wilson,B,8/22/2008,8/6/1975,dan1@adventure-works.com,653-555-0144,M,Dan Wilson,653-555-0144,1,M,2,38.4615,66,53,1,0,Information Services,8/22/2008,NULL,Current
132,Mark,McArthur,K,8/23/2008,4/25/1979,mark1@adventure-works.com,417-555-0154,S,Mark McArthur,417-555-0154,0,M,1,12.45,19,29,1,0,Production,8/23/2008,NULL,Current
133,Bryan,Walton,A,8/24/2008,4/20/1984,bryan1@adventure-works.com,935-555-0199,S,Bryan Walton,935-555-0199,0,M,2,19,62,51,1,0,Finance,8/24/2008,NULL,Current
134,Houman,Pournasseh,N,8/25/2008,3/30/1971,houman0@adventure-works.com,180-555-0136,M,Houman Pournasseh,180-555-0136,0,M,1,11,3,21,1,0,Production,8/25/2008,NULL,Current
135,Sairaj,Uddin,L,8/26/2008,7/22/1987,sairaj0@adventure-works.com,500-555-0159,M,Sairaj Uddin,500-555-0159,0,M,2,16,46,43,1,0,Production Control,8/26/2008,NULL,Current
136,Michiko,Osada,F,8/26/2008,1/25/1982,michiko0@adventure-works.com,984-555-0148,S,Michiko Osada,984-555-0148,0,M,1,9.5,44,42,1,0,Production,8/26/2008,NULL,Current
